
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,p,Bx,By,Bz,I,Azimuth,Pitch,Roll,Gain,Latitude,Longitude,Speed (m/s),
0.882490,-0.0021,0.3425,0.9499,-0.0604,-0.2047,0.1684,-0.0018,-0.0134,0.0675,935.8691,23.2175,-24.3975,-6.0612,32.6287,227.4819,-21.2864,0.2293,92.7742,0.00000000,0.00000000,0.00000000,
0.925070,-0.0021,0.3425,0.9499,-0.0604,-0.2047,0.1684,-0.0018,-0.0134,0.0675,935.8691,23.0700,-24.3400,-5.7600,32.6287,227.4819,-21.2864,0.2293,92.7742,0.00000000,0.00000000,0.00000000,
0.930438,0.0333,0.3359,0.9131,-0.0604,-0.2047,0.1684,-0.0018,-0.0134,0.0675,935.8691,23.0700,-24.3400,-5.7600,32.6287,227.4819,-21.2864,0.2293,92.7742,0.00000000,0.00000000,0.00000000,
0.931009,0.0333,0.3359,0.9131,0.3186,-0.2561,-0.1978,-0.0018,-0.0134,0.0675,935.8691,23.0700,-24.3400,-5.7600,32.6287,227.4819,-21.2864,0.2293,92.7742,0.00000000,0.00000000,0.00000000,
0.931531,0.0333,0.3359,0.9131,0.3186,-0.2561,-0.1978,-0.0018,-0.0134,0.0675,935.8691,23.0700,-24.3400,-5.7600,32.6287,227.0679,-21.2030,0.0444,92.7742,0.00000000,0.00000000,0.00000000,
0.935682,0.0333,0.3359,0.9131,0.3186,-0.2561,-0.1978,-0.0018,-0.0134,0.0675,935.8524,23.0700,-24.3400,-5.7600,32.6287,227.0679,-21.2030,0.0444,92.7742,0.00000000,0.00000000,0.00000000,
0.949607,0.0333,0.3359,0.9131,0.3186,-0.2561,-0.1978,-0.0023,0.0707,0.0715,935.8524,23.0700,-24.3400,-5.7600,32.6287,227.0679,-21.2030,0.0444,92.7742,0.00000000,0.00000000,0.00000000,
0.997885,0.0303,0.3615,0.9816,0.3186,-0.2561,-0.1978,-0.0023,0.0707,0.0715,935.8524,23.0700,-24.3400,-5.7600,32.6287,227.0679,-21.2030,0.0444,92.7742,0.00000000,0.00000000,0.00000000,
0.998681,0.0303,0.3615,0.9816,0.3380,-0.0218,0.4806,-0.0023,0.0707,0.0715,935.8524,23.0700,-24.3400,-5.7600,32.6287,227.0679,-21.2030,0.0444,92.7742,0.00000000,0.00000000,0.00000000,
0.999228,0.0303,0.3615,0.9816,0.3380,-0.0218,0.4806,-0.0023,0.0707,0.0715,935.8524,23.0700,-24.3400,-5.7600,32.6287,226.6483,-21.3081,-0.2405,92.7742,0.00000000,0.00000000,0.00000000,
1.004147,0.0303,0.3615,0.9816,0.3380,-0.0218,0.4806,-0.0023,0.0707,0.0715,935.8524,22.8675,-24.1975,-5.6388,32.6287,226.6483,-21.3081,-0.2405,92.7742,0.00000000,0.00000000,0.00000000,
1.016543,0.0303,0.3615,0.9816,0.3380,-0.0218,0.4806,-0.0023,0.0707,0.0715,935.8105,22.8675,-24.1975,-5.6388,32.6287,226.6483,-21.3081,-0.2405,92.7742,0.00000000,0.00000000,0.00000000,
1.017222,0.0303,0.3615,0.9816,0.3380,-0.0218,0.4806,0.0118,0.1329,0.0797,935.8105,22.8675,-24.1975,-5.6388,32.6287,226.6483,-21.3081,-0.2405,92.7742,0.00000000,0.00000000,0.00000000,
1.055536,0.0303,0.3615,0.9816,0.3380,-0.0218,0.4806,0.0118,0.1329,0.0797,935.8158,22.8675,-24.1975,-5.6388,32.6287,226.6483,-21.3081,-0.2405,92.7742,0.00000000,0.00000000,0.00000000,
1.063261,0.0303,0.3615,0.9816,0.3380,-0.0218,0.4806,0.0118,0.1329,0.0797,935.8158,22.6287,-24.1962,-5.2487,32.6287,226.6483,-21.3081,-0.2405,92.7742,0.00000000,0.00000000,0.00000000,
1.064961,0.0119,0.3402,0.9779,0.3380,-0.0218,0.4806,0.0118,0.1329,0.0797,935.8158,22.6287,-24.1962,-5.2487,32.6287,226.6483,-21.3081,-0.2405,92.7742,0.00000000,0.00000000,0.00000000,
1.065644,0.0119,0.3402,0.9779,0.1158,-0.2472,0.4511,0.0118,0.1329,0.0797,935.8158,22.6287,-24.1962,-5.2487,32.6287,226.6483,-21.3081,-0.2405,92.7742,0.00000000,0.00000000,0.00000000,
1.066128,0.0119,0.3402,0.9779,0.1158,-0.2472,0.4511,0.0118,0.1329,0.0797,935.8158,22.6287,-24.1962,-5.2487,32.6287,226.3367,-21.4149,0.0047,92.7742,0.00000000,0.00000000,0.00000000,
1.085520,0.0119,0.3402,0.9779,0.1158,-0.2472,0.4511,0.0246,-0.0927,0.1016,935.8158,22.6287,-24.1962,-5.2487,32.6287,226.3367,-21.4149,0.0047,92.7742,0.00000000,0.00000000,0.00000000,
1.123012,0.0119,0.3402,0.9779,0.1158,-0.2472,0.4511,0.0246,-0.0927,0.1016,935.8158,22.1900,-24.7262,-5.4562,32.6287,226.3367,-21.4149,0.0047,93.5870,0.00000000,0.00000000,0.00000000,
